symbol,maand1,omzetgroei,kwart1,bestedhuishcbs,bbp,jaar1,dhomzetcbs,dhomzetofflinecbs,omzetwebwinkelscbs,dhaandeelofflinecbs,webwinkelsaandeelcbs,foodcbs,nonfoodcbs,jaar2,totaalomzettmm1,omzetprodtmm,omzetdiensttmm,jaar3,dhopmarcbs,webwopmarcbs,jaar4,totaalomzettmm2,besteltmm,bedrbesttmm,bestperkopertmm,bedrperkoper,kopers,jaar5,aantwebwinkelscbs,groeiaantwebwinkcbs,jaar6,Voeding,Elektronica,Boeken en media,Kleding,Huis en tuinartikelen,Vrijetijdsartikelen,Overige nonfood,Algemeen assortiment,jaar7,Mode,Elektronica,Huis en Tuin,Media en entertainment,Food
multichannel,Jan 2014,0.17,2010 1e kwartaal,-0.013,-0.001,2011,104.3,100.5,3.8,0.96,0.04,39.5,64.8,2014,13.96,7.02,6.94,2011,0.055,0.068,2009**,7.4,53.0,139.62,6.1,737.00,8.7,2011,16130,0.31,2018,3290,2025,785,9820,5630,3365,8545,3720,2015,2080,970,721,702,701
multichannel,Feb 2014,0.17,2010 2e kwartaal,-0.001,0.019,2012,105.5,101.2,4.3,0.96,0.04,41.9,63.6,2015,16.09,8.41,7.68,2012,0.05,0.041,2010**,8.2,69.0,118.84,7.4,888.00,9.3,2012,19425,0.2,,,,,,,,,,,,,,,
multichannel,Mar 2014,0.165,2010 3e kwartaal,0.006,0.017,2013,102.8,98.0,4.8,0.95,0.05,41.2,61.6,2016,20.16,11.01,9.15,2013,0.046,0.06,2011**,9.0,78.0,115.38,7.7,885.00,10.2,2013,22600,0.16,,,,,,,,,,,,,,,
multichannel,Apr 2014,0.323,2010 4e kwartaal,0.012,0.019,2014,104.0,98.5,5.5,0.95,0.05,41.9,62.1,2017,22.5,12.74,9.77,2014,0.046,0.059,2012**,9.8,88.0,111.36,8.3,922.00,10.6,2014,23655,0.05,,,,,,,,,,,,,,,
multichannel,May 2014,0.19,2011 1e kwartaal,0.009,0.028,2015,107.1,100.3,6.8,0.94,0.06,42.3,64.8,2018*,25.0,15.0,10.0,2015,0.048,0.041,2013**,10.6,97.5,108.72,8.9,966.14,11.0,2015,28830,0.22,,,,,,,,,,,,,,,
multichannel,Jun 2014,0.154,2011 2e kwartaal,0.007,0.021,2016,109.7,102.0,7.7,0.93,0.07,43.4,66.3,,,,,2016,0.057,0.045,2014**,13.96,122.7,113.77,11.9,1355.34,10.3,2016,31720,0.1,,,,,,,,,,,,,,,
multichannel,Jul 2014,0.209,2011 3e kwartaal,-0.002,0.014,2017*,114.3,105.2,9.1,0.92,0.08,44.8,68.6,,,,,,,,2015**,16.09,143.3,112.28,13.4,1503.74,10.7,2017*,33915,0.07,,,,,,,,,,,,,,,
multichannel,Aug 2014,0.25,2011 4e kwartaal,-0.012,0.0,,,,,,,,,,,,,,,,2016,20.16,173.6,116.13,13.1,1521.51,13.3,2018*,37175,0.1,,,,,,,,,,,,,,,
multichannel,Sep 2014,0.057,2012 1e kwartaal,-0.005,-0.011,,,,,,,,,,,,,,,,2017,22.51,201.7,111.61,15.2,1692.48,13.3,,,,,,,,,,,,,,,,,,
multichannel,Oct 2014,0.143,2012 2e kwartaal,-0.008,-0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Nov 2014,0.121,2012 3e kwartaal,-0.011,-0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Dec 2014,0.259,2012 4e kwartaal,-0.021,-0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jan 2015,0.258,2013 1e kwartaal,-0.023,-0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Feb 2015,0.219,2013 2e kwartaal,-0.016,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Mar 2015,0.208,2013 3e kwartaal,-0.011,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
